"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"ANN23980.1"	"KX118301.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"AAA25550.1"	"J03306"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"CAQ53849.2"	"AM997279.2"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"BAD88719.1"	"AB200915.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ACZ52983.1"	"GU067642.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"ASF80997.1"	"KY887596.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"AAN85115.1"	"AY162283.2"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"ABB89122.1"	"DQ278190"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ACY06082.1"	"FJ905898.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"CAB06660.1"	"Z86002.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ACS44716.1"	"FJ854362"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"AHV80711.1"	"KJ174469"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"CAA40897.1"	"X57730.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"AAA82255.1"	"U36276.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ABI20482.1"	"DQ839391.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"ACR57831.1"	"GQ150744"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ABY55281.1"	"EU339233.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"AAX46054.1"	"AY943084.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ADO00942.1"	"GU060319"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"ADB54781.1"	"GU295656.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"AAO04716.1"	"AE015929.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"AAA85213.1"	"U43152"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"EOD99669.1"	"AIIS01000002.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"AAD01868.1"	"AF028812"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"BAE15963.1"	"AB205645"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"ABO40886.1"	"CP000602.1"	"trimethoprim resistant dihydrofolate reductase dfr"	"diaminopyrimidine antibiotic"	"antibiotic target replacement"
"CBL80435.1"	"FN812951"	"trimethoprim resistant dihydrofolate reductase dfr"	"N/A"	"antibiotic target replacement"
"CAA76196.1"	"Y16410.1"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AJO16043.1"	"KP050490"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"CDL68900.1"	"HG798963"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76108.1"	"KM087855"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76107.1"	"KM087854"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76106.1"	"KM087853"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76105.1"	"KM087852"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76103.1"	"KM087850"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76094.1"	"KM087841"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76102.1"	"KM087849"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AAG36927.1"	"AF259520"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76101.1"	"KM087848"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76100.1"	"KM087847"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AIT76109.1"	"KM087856"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AAR87489.1"	"AY494945"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AEL22919.1"	"JF273491"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"ADT91161.1"	"HQ322612"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"ADQ00385.1"	"HQ456945"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AHL39320.1"	"KJ207201.1"	"DHA beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AGC92784.1"	"KC004136"	"DIM beta-lactamase"	"carbapenem;cephalosporin"	"antibiotic inactivation"
"NP_418157.1"	"NC_000913.3"	"DnaA chromosomal replication initiation protein"	"rifamycin antibiotic"	"antibiotic target protection"
"AGQ48857.1"	"KF010779.1"	"ABC-F ATP-binding cassette ribosomal protection protein"	"lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic"	"antibiotic target protection"
"AAN32638.1"	"AF416700"	"EBR beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ALG03771.1"	"KR131616.1"	"EBR beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHH86051.1"	"KC771276.1"	"Edeine acetyltransferase"	"peptide antibiotic;polyamine antibiotic"	"antibiotic inactivation"
"BAG75524.1"	"AB467372.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic"	"antibiotic efflux"
"CCP45647.1"	"AL123456.3"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"isoniazid;rifamycin antibiotic"	"antibiotic efflux"
"WP_104671188.1"	"NZ_PTWF01000025.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic"	"antibiotic efflux"
"CDO61516.1"	"HG970103.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic"	"antibiotic efflux"
"BAC11911.1"	"AB091338"	"multidrug and toxic compound extrusion (MATE) transporter"	"acridine dye"	"antibiotic efflux"
"BAA16547.1"	"AP009048"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic"	"antibiotic efflux"
"AAC75733.1"	"U00096"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic"	"antibiotic efflux"
"EFF04178.1"	"GG749185.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"N/A"	"antibiotic efflux"
"BAA11236.1"	"D78168"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAC75731.1"	"U00096.3"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic"	"antibiotic efflux"
"BAA11237.1"	"D78168"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAL02176.1"	"AF403298.1"	"non-erm 23S ribosomal RNA methyltransferase (G748)"	"lincosamide antibiotic;macrolide antibiotic"	"antibiotic target alteration"
"ABG77965.1"	"DQ679966"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux"
"AFK13827.1"	"JQ727667"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux"
"CAA63498.2"	"X92945.2"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AEA93051.1"	"CP002621.1"	"daptomycin resistant cls"	"peptide antibiotic"	"antibiotic target alteration"
"AAO81566.1"	"AE016830.1"	"daptomycin resistant drmA"	"peptide antibiotic"	"antibiotic target alteration"
"AAO81656.1"	"AE016830.1"	"daptomycin resistant gdpD"	"peptide antibiotic"	"antibiotic target alteration"
"AMR95642.1"	"CP014949.1"	"daptomycin resistant gshF"	"peptide antibiotic"	"antibiotic target alteration"
"AAO82601.1"	"AE016830.1"	"daptomycin resistant liaF"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AAO82599.1"	"AE016830.1"	"daptomycin resistant liaR"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AAO82600.1"	"AE016830.1"	"daptomycin resistant liaS"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AAO81526.1"	"AE016830.1"	"daptomycin resistant YvlB"	"peptide antibiotic"	"antibiotic target alteration"
"AAO79895.1"	"AE016830.1"	"daptomycin resistant YybT"	"peptide antibiotic"	"antibiotic target alteration"
"AAO52851.1"	"AF507977.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"ALL09868.1"	"CP013009.1"	"daptomycin resistant cls"	"peptide antibiotic"	"antibiotic target alteration"
"AFK57679.1"	"CP003583.1"	"elfamycin resistant EF-Tu"	"N/A"	"antibiotic target alteration"
"CUX99269.1"	"LN999844.1"	"daptomycin resistant liaF"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AFK58562.1"	"CP003583"	"daptomycin resistant liaR"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AFK58561.1"	"CP003583"	"daptomycin resistant liaS"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"BAE78116.1"	"AP009048"	"pmr phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic target alteration"
"CCI79240.1"	"FO203501.1"	"pmr phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic target alteration"
"AAO38247.1"	"AY183453.1"	"macrolide esterase"	"macrolide antibiotic"	"antibiotic inactivation"
"AAC78336.1"	"AF099140"	"macrolide esterase"	"macrolide antibiotic"	"antibiotic inactivation"
"CAA27626.1"	"X03988.1"	"macrolide esterase"	"macrolide antibiotic"	"antibiotic inactivation"
"AKO71461.1"	"KP265721.1"	"macrolide esterase"	"macrolide antibiotic"	"antibiotic inactivation"
"AAC69328.1"	"AF079138.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAC69327.1"	"AF079138"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAB37345.2"	"AJ009971.2"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAC86410.1"	"AJ313523.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAP74657.1"	"AY234334"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAK07612.2"	"AF319779.2"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAL68827.1"	"AF462611"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CCP44758.1"	"AL123456"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAN86837.2"	"AY154657.2"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAR92235.1"	"AY487229"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAS76623.1"	"AY570506.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"ABW06859.1"	"EU177504"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CBY77552.1"	"FR734406"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CCF55073.1"	"HE650138"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CDL65151.1"	"HG796218.2"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CEJ95855.1"	"LN680996.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AJF36617.1"	"KM679362.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"ANZ79476.1"	"KU612222.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CZT31773.1"	"LT223129"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"OPG86592.1"	"MWVR01000009.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAA26964.1"	"X03216.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAF86219.1"	"AF242872.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA98296.1"	"M12730"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA22597.1"	"L08389"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAB60001.1"	"X51891"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA88675.1"	"M17124"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAC37034.1"	"L42817"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAC32026.1"	"M16503"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"WP_010896559.1"	"NG_047831.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAA66307.2"	"X97721.2"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA26779.1"	"M74717.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAA11706.1"	"AJ223970.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAC36915.1"	"L22689"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAU93796.1"	"AY623658"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA26742.1"	"M19269"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA98096.1"	"M64090"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAA44667.1"	"X62867.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAB51440.1"	"U59450"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"BAA03402.1"	"D14532"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAA98484.1"	"M36726.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"BAB20748.1"	"AB014481"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAM96571.1"	"AM709783.1"	"Erm 23S ribosomal RNA methyltransferase"	"lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"AAL86999.1"	"AY077733.1"	"ERP beta-lactamase"	"penam"	"antibiotic inactivation"
"N/A"	"U00096"	"16s rRNA with mutation conferring resistance to peptide antibiotics"	"peptide antibiotic"	"antibiotic target alteration"
"N/A"	"U00096"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"U00096"	"16S rRNA with mutation conferring resistance to tetracycline derivatives"	"N/A"	"antibiotic target alteration"
"N/A"	"U00096"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"N/A"	"AE014075"	"23S rRNA with mutation conferring resistance to phenicol antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"AE014075.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"AE014075.1"	"23S rRNA with mutation conferring resistance to lincosamide antibiotics"	"lincosamide antibiotic"	"antibiotic target alteration"
"N/A"	"AE014075.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"N/A"	"AE014075.1"	"23S rRNA with mutation conferring resistance to oxazolidinone antibiotics"	"oxazolidinone antibiotic"	"antibiotic target alteration"
"AAC73565.1"	"U00096.3"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux"
"AAC73566.1"	"U00096.3"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux;antibiotic target alteration"
"CBJ02047.1"	"FN649414.1"	"ampC-type beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"AAC77110.1"	"U00096.3"	"ampC-type beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"BAJ42218.1"	"AP012030.1"	"ampC-type beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ANK04473.1"	"CP015085.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CDJ73082"	"HG738867"	"antibiotic-resistant cya adenylate cyclase"	"fosfomycin"	"antibiotic target alteration"
"AAC76364.1"	"U00096.3"	"elfamycin resistant EF-Tu"	"N/A"	"antibiotic target alteration"
"AAA50993.1"	"AH002539.2"	"elfamycin resistant EF-Tu"	"N/A"	"antibiotic target alteration"
"AAN82549.1"	"AE014075.1"	"elfamycin resistant EF-Tu"	"N/A"	"antibiotic target alteration"
"CAA77936.1"	"Z11877.1"	"small multidrug resistance (SMR) antibiotic efflux pump"	"macrolide antibiotic"	"antibiotic efflux"
"AAC74177.1"	"U00096.3"	"antibiotic resistant fabG"	"triclosan"	"antibiotic target alteration"
"AAC74370.1"	"U00096.3"	"antibiotic resistant fabI"	"isoniazid"	"antibiotic target alteration"
"AAC76209.2"	"U00096.3"	"sulfonamide resistant dihydropteroate synthase folP"	"N/A"	"antibiotic target alteration"
"CDJ72593"	"HG738867"	"antibiotic-resistant GlpT"	"fosfomycin"	"antibiotic target alteration"
"AAC75291.1"	"U00096.3"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AAC75291.1"	"U00096.3"	"triclosan resistant gyrA"	"triclosan"	"antibiotic target alteration"
"BAE77595.1"	"AP009048"	"aminocoumarin resistant gyrB"	"N/A"	"antibiotic target alteration"
"BAB38442"	"BA000007"	"Sugar Porin (SP)"	"fluoroquinolone antibiotic;tetracycline antibiotic"	"reduced permeability to antibiotic;resistance by absence"
"AAC74603.2"	"U00096"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux;antibiotic target alteration"
"AFH35853.1"	"JQ394987"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"benzalkonium chloride;rhodamine;tetracycline antibiotic"	"antibiotic efflux"
"NP_310518"	"NC_002695.2"	"MipA-interacting Protein"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"reduced permeability to antibiotic;resistance by absence"
"AIL15701"	"CP009072"	"antibiotic-resistant murA transferase"	"N/A"	"antibiotic target alteration"
"AAC73938.1"	"U00096.3"	"antibiotic resistant nfsA"	"nitrofuran antibiotic"	"antibiotic target alteration"
"AAC73679.1"	"U00096.3"	"antibiotic resistant nfsB"	"nitrofuran antibiotic"	"antibiotic target alteration"
"AAC74015.1"	"U00096.3"	"General Bacterial Porin with reduced permeability to beta-lactams"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem"	"reduced permeability to antibiotic"
"AAC76055.1"	"U00096.3"	"fluoroquinolone resistant parC"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"BAE77086.1"	"AP009048.1"	"fluoroquinolone resistant parE"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"CDJ72759"	"HG738867"	"antibiotic-resistant ptsI phosphotransferase"	"fosfomycin"	"antibiotic target alteration"
"NP_418813.1"	"NC_000913.3"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux"
"BAB38333.1"	"BA000007.3"	"rifamycin-resistant beta-subunit of RNA polymerase (rpoB)"	"rifamycin antibiotic"	"antibiotic target alteration;antibiotic target replacement"
"AAC77033.1"	"U00096"	"ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux;antibiotic target alteration"
"AAC77032.1"	"U00096.3"	"ATP-binding cassette (ABC) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"	"carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux;antibiotic target alteration;reduced permeability to antibiotic"
"CDJ73205"	"HG738867"	"antibiotic-resistant UhpT"	"fosfomycin"	"antibiotic target alteration"
"CDJ73208"	"HG738867"	"antibiotic-resistant UhpT"	"fosfomycin"	"antibiotic target alteration"
"AJP77085"	"KP109681"	"ESP beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"BAB36671.1"	"BA000007.3"	"major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic"	"antibiotic efflux"
"AAC75429.1"	"U00096"	"major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic"	"antibiotic efflux"
"AAA26775.1"	"M28303"	"EXO beta-lactamase"	"penam"	"antibiotic inactivation"
"AFK80333.1"	"JQ768046"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"elfamycin antibiotic"	"antibiotic efflux"
"AAB81957.1"	"AF024601.1"	"FAR beta-lactamase"	"penam"	"antibiotic inactivation"
"AAF40763.1"	"AE002098.2"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"antibacterial free fatty acids"	"antibiotic efflux"
"AAF40764.1"	"AE002098.2"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"antibacterial free fatty acids"	"antibiotic efflux"
"CAD70268.1"	"AJ549214"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"phenicol antibiotic"	"antibiotic efflux"
"CAB96921.1"	"Y17896"	"FEZ beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFV91534.1"	"JX570731.1"	"FIM beta-lactamase"	"carbapenem;cephalosporin"	"antibiotic inactivation"
"ATX60370.1"	"MG309750.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"AAG16656.1"	"AF231986"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"phenicol antibiotic"	"antibiotic efflux"
"BAA32493.1"	"AB016934"	"Fom phosphotransferase family"	"fosfomycin"	"antibiotic inactivation"
"BAA32494.1"	"AB016934"	"Fom phosphotransferase family"	"fosfomycin"	"antibiotic inactivation"
