,input_file_name,gene_symbol,gene_name,reference_database_id,reference_database_version,reference_accession,analysis_software_name,analysis_software_version,sequence_identity,input_sequence_id,input_protein_start,input_protein_stop,input_gene_start,input_gene_stop,reference_protein_start,reference_protein_stop,reference_gene_start,reference_gene_stop,strand_orientation,coverage_depth,coverage_percentage,coverage_ratio,reference_gene_length,reference_protein_length,input_gene_length,input_protein_length,drug_class,antimicrobial_agent,resistance_mechanism,AMR Gene Family,Drug Class,Resistance Mechanism,accession_source,accession,drug_class_card,drug_class_ham,True_Positive,drugclass_new,true_positive
534,contigs,blaVIM-4,blaVIM-4,resfinder,db_v_1,EU581706,staramr,tool_v_1,100.0,NODE_1070_length_895_cov_52.776190,,,813.0,13.0,,,,,,,100.0,1.0,,,,,amoxicillinclavulanicacid,,,,,,,,,"ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem",False,penicillin,true_positive
534,contigs,blaVIM-4,blaVIM-4,resfinder,db_v_1,EU581706,staramr,tool_v_1,100.0,NODE_1070_length_895_cov_52.776190,,,813.0,13.0,,,,,,,100.0,1.0,,,,,cefoxitin,,,,,,,,,"ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem",False,cephalosporin,true_positive
534,contigs,blaVIM-4,blaVIM-4,resfinder,db_v_1,EU581706,staramr,tool_v_1,100.0,NODE_1070_length_895_cov_52.776190,,,813.0,13.0,,,,,,,100.0,1.0,,,,,ceftriaxone,,,,,,,,,"ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem",False,cephalosporin,true_positive
534,contigs,blaVIM-4,blaVIM-4,resfinder,db_v_1,EU581706,staramr,tool_v_1,100.0,NODE_1070_length_895_cov_52.776190,,,813.0,13.0,,,,,,,100.0,1.0,,,,,meropenem,,,,,,,,,"ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem",False,carbapenem,unknown
535,contigs,blaZ,blaZ,resfinder,db_v_1,AP003139,staramr,tool_v_1,99.88,NODE_506_length_14937_cov_66.210724,,,180.0,1025.0,,,,,,,100.0,1.0,,,,,ampicillin,,,,,,,,,ampicillin,False,penicillin,true_positive
538,contigs,catB7,catB7,resfinder,db_v_1,AF036933,staramr,tool_v_1,99.53,NODE_192_length_65108_cov_63.356079,,,52863.0,52225.0,,,,,,,100.0,1.0,,,,,chloramphenicol,,,,,,,,,chloramphenicol,False,phenicol,true_positive
539,contigs,dfrA12,dfrA12,resfinder,db_v_1,AB571791,staramr,tool_v_1,100.0,NODE_1048_length_1023_cov_64.204545,,,56.0,553.0,,,,,,,100.0,1.0,,,,,diaminopyrimidineantibiotic,,,,,,,,diaminopyrimidine antibiotic,trimethoprim,False,diaminopyrimidine,unknown
540,contigs,dfrA14,dfrA14,resfinder,db_v_1,DQ388123,staramr,tool_v_1,99.59,NODE_972_length_1346_cov_70.786987,,,62.0,544.0,,,,,,,100.0,1.0,,,,,trimethoprim,,,,,,,,,trimethoprim,False,trimethoprim,unknown
541,contigs,dfrA17,dfrA17,resfinder,db_v_1,FJ460238,staramr,tool_v_1,100.0,NODE_926_length_1610_cov_65.670740,,,1542.0,1069.0,,,,,,,100.0,1.0,,,,,diaminopyrimidineantibiotic,,,,,,,,diaminopyrimidine antibiotic,trimethoprim,False,diaminopyrimidine,unknown
542,contigs,dfrA18,dfrA18,resfinder,db_v_1,AJ310778,staramr,tool_v_1,99.83,NODE_925_length_1610_cov_115.917685,,,1022.0,453.0,,,,,,,100.0,1.0,,,,,trimethoprim,,,trimethoprim resistant dihydrofolate reductase dfr,,antibiotic target replacement,DNA Accession,AJ310778,,trimethoprim,False,trimethoprim,unknown
543,contigs,dfrA8,dfrA8,resfinder,db_v_1,U10186,staramr,tool_v_1,100.0,NODE_985_length_1283_cov_63.096091,,,1188.0,679.0,,,,,,,100.0,1.0,,,,,trimethoprim,,,,,,,,,trimethoprim,False,trimethoprim,unknown
544,contigs,erm(B),erm(B),resfinder,db_v_1,X66468,staramr,tool_v_1,98.95,NODE_710_length_4173_cov_64.692569,,,320.0,1083.0,,,,,,,100.26,1.0026246719160106,,,,,erythromycin,,,,,,,,,"erythromycin, azithromycin",False,macrolide,true_positive
544,contigs,erm(B),erm(B),resfinder,db_v_1,X66468,staramr,tool_v_1,98.95,NODE_710_length_4173_cov_64.692569,,,320.0,1083.0,,,,,,,100.26,1.0026246719160106,,,,,azithromycin,,,,,,,,,"erythromycin, azithromycin",False,macrolide,true_positive
545,contigs,fosA,fosA,resfinder,db_v_1,AFBO01000747,staramr,tool_v_1,98.79,NODE_118_length_98422_cov_63.725091,,,13948.0,14360.0,,,,,,,98.33,0.9833333333333332,,,,,fosfomycin,,,,,,,,,fosfomycin,False,fosfomycin,unknown
546,contigs,fosA,fosA,resfinder,db_v_1,ACWU01000146,staramr,tool_v_1,99.51,NODE_6_length_515405_cov_63.312017,,,338523.0,338116.0,,,,,,,100.0,1.0,,,,,fosfomycin,,,,,,,,,fosfomycin,False,fosfomycin,unknown
550,contigs,mph(A),mph(A),resfinder,db_v_1,D16251,staramr,tool_v_1,100.0,NODE_745_length_3348_cov_65.137868,,,1024.0,122.0,,,,,,,99.67,0.9966887417218544,,,,,erythromycin,,,,,,,,,"erythromycin, azithromycin",False,macrolide,true_positive
550,contigs,mph(A),mph(A),resfinder,db_v_1,D16251,staramr,tool_v_1,100.0,NODE_745_length_3348_cov_65.137868,,,1024.0,122.0,,,,,,,99.67,0.9966887417218544,,,,,azithromycin,,,,,,,,,"erythromycin, azithromycin",False,macrolide,true_positive
551,contigs,mph(C),mph(C),resfinder,db_v_1,AF167161,staramr,tool_v_1,100.0,NODE_506_length_14937_cov_66.210724,,,12900.0,12001.0,,,,,,,100.0,1.0,,,,,erythromycin,,,,,,,,,erythromycin,False,macrolide,true_positive
552,contigs,msr(A),msr(A),resfinder,db_v_1,X52085,staramr,tool_v_1,98.98,NODE_506_length_14937_cov_66.210724,,,14465.0,12999.0,,,,,,,100.0,1.0,,,,,erythromycin,,,,,,,,,"erythromycin, azithromycin",False,macrolide,true_positive
552,contigs,msr(A),msr(A),resfinder,db_v_1,X52085,staramr,tool_v_1,98.98,NODE_506_length_14937_cov_66.210724,,,14465.0,12999.0,,,,,,,100.0,1.0,,,,,azithromycin,,,,,,,,,"erythromycin, azithromycin",False,macrolide,true_positive
553,contigs,oqxA,oqxA,resfinder,db_v_1,EU370913,staramr,tool_v_1,99.49,NODE_174_length_70078_cov_65.770333,,,55202.0,54027.0,,,,,,,100.0,1.0,,,,,chloramphenicol,,,,,,,,,chloramphenicol,False,phenicol,true_positive
554,contigs,oqxB,oqxB,resfinder,db_v_1,EU370913,staramr,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,54003.0,50851.0,,,,,,,100.0,1.0,,,,,diaminopyrimidineantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,chloramphenicol,False,diaminopyrimidine,unknown
554,contigs,oqxB,oqxB,resfinder,db_v_1,EU370913,staramr,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,54003.0,50851.0,,,,,,,100.0,1.0,,,,,fluoroquinoloneantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,chloramphenicol,False,quinolone,true_positive
554,contigs,oqxB,oqxB,resfinder,db_v_1,EU370913,staramr,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,54003.0,50851.0,,,,,,,100.0,1.0,,,,,glycylcycline,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,chloramphenicol,False,tetracycline,true_positive
554,contigs,oqxB,oqxB,resfinder,db_v_1,EU370913,staramr,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,54003.0,50851.0,,,,,,,100.0,1.0,,,,,nitrofuranantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,chloramphenicol,False,nitrofuran,false_positive
554,contigs,oqxB,oqxB,resfinder,db_v_1,EU370913,staramr,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,54003.0,50851.0,,,,,,,100.0,1.0,,,,,tetracyclineantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,chloramphenicol,False,tetracycline,true_positive
555,contigs,qnrB2,qnrB2,resfinder,db_v_1,DQ351242,staramr,tool_v_1,100.0,NODE_803_length_2615_cov_137.732031,,,348.0,992.0,,,,,,,100.0,1.0,,,,,ciprofloxacinir,,,,,,,,,ciprofloxacin I/R,False,quinolone,true_positive
556,contigs,qnrS1,qnrS1,resfinder,db_v_1,AB187515,staramr,tool_v_1,100.0,NODE_820_length_2478_cov_122.500619,,,1405.0,749.0,,,,,,,100.0,1.0,,,,,ciprofloxacinir,,,,,,,,,ciprofloxacin I/R,False,quinolone,true_positive
558,contigs,sul2,sul2,resfinder,db_v_1,AY034138,staramr,tool_v_1,100.0,NODE_968_length_1384_cov_60.326561,,,899.0,84.0,,,,,,,100.0,1.0,,,,,sulfonamideantibiotic,,,,,,,,sulfonamide antibiotic,sulfisoxazole,False,sufonamides,unknown
559,contigs,tet(41),tet(41),resfinder,db_v_1,AY264780,staramr,tool_v_1,98.65,NODE_243_length_49668_cov_63.129502,,,12707.0,11526.0,,,,,,,100.0,1.0,,,,,tetracyclineantibiotic,,,,,,,,tetracycline antibiotic,tetracycline,False,tetracycline,true_positive
560,contigs,tet(A),tet(A),resfinder,db_v_1,AJ517790,staramr,tool_v_1,100.0,NODE_712_length_4030_cov_63.121761,,,2939.0,1740.0,,,,,,,100.0,1.0,,,,,tetracyclineantibiotic,,,,,,,,tetracycline antibiotic,tetracycline,False,tetracycline,true_positive
561,contigs,tet(B),tet(B),resfinder,db_v_1,AF326777,staramr,tool_v_1,100.0,NODE_735_length_3579_cov_62.336266,,,856.0,2061.0,,,,,,,100.0,1.0,,,,,tetracyclineantibiotic,,,,,,,,tetracycline antibiotic,tetracycline,False,tetracycline,true_positive
562,no,OqxA,OqxA,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,99.49,NODE_174_length_70078_cov_65.770333,,,54027.0,55202.0,,,,,+,,100.0,,1176.0,,,,disinfectantresistance,,,,,,,,,Disinfectant resistance,False,disinfectant,unknown
563,no,OqxB,OqxB,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,50851.0,54003.0,,,,,+,,100.0,,3153.0,,,,disinfectantresistance,,,,,,,,,Disinfectant resistance,False,disinfectant,unknown
564,no,aac(3)-IId,aac(3)-IId,resfinder,db_v_1,EU022314,resfinder 4,tool_v_1,99.88,NODE_971_length_1351_cov_62.547068,,,91.0,951.0,,,,,+,,100.0,,861.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
565,no,aac(3)-Ia,aac(3)-Ia,resfinder,db_v_1,X15852,resfinder 4,tool_v_1,99.06,NODE_918_length_1662_cov_67.283136,,,42.0,575.0,,,,,+,,100.0,,534.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
566,no,aac(6')-Ib-cr,aac(6')-Ib-cr,resfinder,db_v_1,EF636461,resfinder 4,tool_v_1,99.61,NODE_1164_length_616_cov_317.882353,,,63.0,581.0,,,,,-,,100.0,,519.0,,,,fluoroquinolone,,,,,,,,,Fluoroquinolone and aminoglycoside resistance,False,quinolone,true_positive
566,no,aac(6')-Ib-cr,aac(6')-Ib-cr,resfinder,db_v_1,EF636461,resfinder 4,tool_v_1,99.61,NODE_1164_length_616_cov_317.882353,,,63.0,581.0,,,,,-,,100.0,,519.0,,,,aminoglycosideresistance,,,,,,,,,Fluoroquinolone and aminoglycoside resistance,False,aminoglycoside,true_positive
569,no,aadA1,aadA1,resfinder,db_v_1,JQ480156,resfinder 4,tool_v_1,100.0,NODE_1125_length_693_cov_253.377743,,,1.0,683.0,,,,,+,,86.56527249683144,,683.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
570,no,aadA1,aadA1,resfinder,db_v_1,JQ414041,resfinder 4,tool_v_1,100.0,NODE_1125_length_693_cov_253.377743,,,1.0,683.0,,,,,+,,86.23737373737373,,683.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
571,no,aadA2b,aadA2b,resfinder,db_v_1,D43625,resfinder 4,tool_v_1,99.74,NODE_1071_length_891_cov_118.978469,,,108.0,887.0,,,,,+,,100.0,,780.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
573,no,ant(2'')-Ia,ant(2'')-Ia,resfinder,db_v_1,X04555,resfinder 4,tool_v_1,100.0,NODE_1099_length_776_cov_58.104022,,,183.0,716.0,,,,,+,,100.0,,534.0,,,,aminoglycosideresistancealternatename,,,,,,,,,Aminoglycoside resistance Alternate name; ant(2'')-Ia,False,aminoglycoside,true_positive
574,no,ant(6)-Ia,ant(6)-Ia,resfinder,db_v_1,AF330699,resfinder 4,tool_v_1,99.69,NODE_758_length_3197_cov_63.627307,,,131.0,772.0,,,,,+,,70.51705170517052,,642.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
575,no,aph(3'')-Ib,aph(3'')-Ib,resfinder,db_v_1,AF321551,resfinder 4,tool_v_1,100.0,NODE_910_length_1699_cov_115.144161,,,864.0,1667.0,,,,,-,,100.0,,804.0,,,,aminoglycosideresistancealternatename,,,,,,,,,Aminoglycoside resistance Alternate name; aph(3'')-Ib,False,aminoglycoside,true_positive
575,no,aph(3'')-Ib,aph(3'')-Ib,resfinder,db_v_1,AF321551,resfinder 4,tool_v_1,100.0,NODE_910_length_1699_cov_115.144161,,,864.0,1667.0,,,,,-,,100.0,,804.0,,,,aph3ib,,,,,,,,,Aminoglycoside resistance Alternate name; aph(3'')-Ib,False,aph3ib,unknown
576,no,aph(3')-III,aph(3')-III,resfinder,db_v_1,M26832,resfinder 4,tool_v_1,100.0,NODE_758_length_3197_cov_63.627307,,,1392.0,2186.0,,,,,+,,100.0,,795.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
577,no,aph(3')-IIb,aph(3')-IIb,resfinder,db_v_1,CP006832,resfinder 4,tool_v_1,99.38,NODE_27_length_210538_cov_63.527487,,,106092.0,106898.0,,,,,+,,100.0,,807.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
578,no,aph(3')-Ia,aph(3')-Ia,resfinder,db_v_1,X62115,resfinder 4,tool_v_1,100.0,NODE_1074_length_880_cov_188.310303,,,1.0,814.0,,,,,+,,99.75490196078432,,814.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
579,no,aph(3')-VIb,aph(3')-VIb,resfinder,db_v_1,AJ627643,resfinder 4,tool_v_1,98.46,NODE_380_length_28321_cov_63.171443,,,1850.0,2629.0,,,,,+,,100.0,,780.0,,,,aminoglycosideresistance,,,,,,,,,Aminoglycoside resistance,False,aminoglycoside,true_positive
580,no,aph(6)-Id,aph(6)-Id,resfinder,db_v_1,M28829,resfinder 4,tool_v_1,100.0,NODE_910_length_1699_cov_115.144161,,,28.0,864.0,,,,,+,,100.0,,837.0,,,,aminoglycosideresistancealternatename,,,,,,,,,Aminoglycoside resistance Alternate name; aph(6)-Id,False,aminoglycoside,true_positive
582,no,blaADC-25,blaADC-25,resfinder,db_v_1,EF016355,resfinder 4,tool_v_1,96.96,NODE_700_length_4415_cov_63.186009,,,3254.0,4405.0,,,,,+,,99.91319444444444,,1153.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
585,no,blaKPC-3,blaKPC-3,resfinder,db_v_1,HM769262,resfinder 4,tool_v_1,100.0,NODE_571_length_10008_cov_124.619512,,,1925.0,2806.0,,,,,+,,100.0,,882.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
587,no,blaOXA-1,blaOXA-1,resfinder,db_v_1,HQ170510,resfinder 4,tool_v_1,100.0,NODE_933_length_1586_cov_126.278903,,,633.0,1463.0,,,,,-,,100.0,,831.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
590,no,blaOXA-66,blaOXA-66,resfinder,db_v_1,AY750909,resfinder 4,tool_v_1,100.0,NODE_25_length_221718_cov_63.330551,,,65086.0,65910.0,,,,,+,,100.0,,825.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
591,no,blaOXA-72,blaOXA-72,resfinder,db_v_1,AY739646,resfinder 4,tool_v_1,100.0,NODE_1058_length_942_cov_64.217587,,,31.0,858.0,,,,,+,,100.0,,828.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
592,no,blaOXA-9,blaOXA-9,resfinder,db_v_1,KQ089875,resfinder 4,tool_v_1,99.88,NODE_981_length_1298_cov_145.691070,,,254.0,1078.0,,,,,-,,100.0,,825.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
595,no,blaPER-1,blaPER-1,resfinder,db_v_1,GU944725,resfinder 4,tool_v_1,99.89,NODE_638_length_6076_cov_63.771300,,,1519.0,2445.0,,,,,+,,100.0,,927.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
596,no,blaSHV-12,blaSHV-12,resfinder,db_v_1,KF976405,resfinder 4,tool_v_1,100.0,NODE_904_length_1740_cov_248.284273,,,24.0,884.0,,,,,+,,100.0,,861.0,,,,betalactamresistancealternatename,,,,,,,,,Beta-lactam resistance Alternate name; SHV-5-2a,False,betalactam,true_positive
598,no,blaTEM-1B,blaTEM-1B,resfinder,db_v_1,AY458016,resfinder 4,tool_v_1,100.0,NODE_1053_length_990_cov_318.018182,,,1.0,843.0,,,,,+,,97.90940766550524,,843.0,,,,betalactamresistancealternatename,,,,,,,,,Beta-lactam resistance Alternate name; RblaTEM-1,False,betalactam,true_positive
599,no,blaVIM-4,blaVIM-4,resfinder,db_v_1,EU581706,resfinder 4,tool_v_1,100.0,NODE_1070_length_895_cov_52.776190,,,13.0,813.0,,,,,+,,100.0,,801.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
600,no,blaZ,blaZ,resfinder,db_v_1,CP000731,resfinder 4,tool_v_1,100.0,NODE_506_length_14937_cov_66.210724,,,180.0,1025.0,,,,,-,,100.0,,846.0,,,,betalactamresistance,,,,,,,,,Beta-lactam resistance,False,betalactam,true_positive
602,no,catB3,catB3,resfinder,db_v_1,AJ009818,resfinder 4,tool_v_1,100.0,NODE_933_length_1586_cov_126.278903,,,54.0,495.0,,,,,-,,69.826224328594,,442.0,,,,phenicolantibiotic,,,,,,,,phenicol antibiotic,Phenicol resistance,False,phenicol,true_positive
603,no,catB3,catB3,resfinder,db_v_1,U13880,resfinder 4,tool_v_1,100.0,NODE_933_length_1586_cov_126.278903,,,54.0,495.0,,,,,-,,69.826224328594,,442.0,,,,phenicolantibiotic,,,,,,,,phenicol antibiotic,Phenicol resistance,False,phenicol,true_positive
604,no,catB7,catB7,resfinder,db_v_1,AF036933,resfinder 4,tool_v_1,99.53,NODE_192_length_65108_cov_63.356079,,,52225.0,52863.0,,,,,+,,100.0,,639.0,,,,phenicolresistance,,,,,,,,,Phenicol resistance,False,phenicol,true_positive
606,no,dfrA12,dfrA12,resfinder,db_v_1,AM040708,resfinder 4,tool_v_1,100.0,NODE_1048_length_1023_cov_64.204545,,,56.0,553.0,,,,,-,,100.0,,498.0,,,,diaminopyrimidineantibiotic,,,,,,,,diaminopyrimidine antibiotic,Trimethoprim resistance,False,diaminopyrimidine,unknown
607,no,dfrA14,dfrA14,resfinder,db_v_1,KF921535,resfinder 4,tool_v_1,100.0,NODE_972_length_1346_cov_70.786987,,,71.0,544.0,,,,,-,,100.0,,474.0,,,,trimethoprimresistance,,,,,,,,,Trimethoprim resistance,False,trimethoprim,unknown
608,no,dfrA17,dfrA17,resfinder,db_v_1,FJ460238,resfinder 4,tool_v_1,100.0,NODE_926_length_1610_cov_65.670740,,,1069.0,1542.0,,,,,+,,100.0,,474.0,,,,diaminopyrimidineantibiotic,,,,,,,,diaminopyrimidine antibiotic,Trimethoprim resistance,False,diaminopyrimidine,unknown
610,no,dfrA8,dfrA8,resfinder,db_v_1,U10186,resfinder 4,tool_v_1,100.0,NODE_985_length_1283_cov_63.096091,,,679.0,1188.0,,,,,-,,100.0,,510.0,,,,trimethoprimresistance,,,,,,,,,Trimethoprim resistance,False,trimethoprim,unknown
611,no,erm(B),erm(B),resfinder,db_v_1,JN899585,resfinder 4,tool_v_1,99.86,NODE_710_length_4173_cov_64.692569,,,346.0,1083.0,,,,,-,,100.0,,738.0,,,,macrolideresistance,,,,,,,,,Macrolide resistance,False,macrolide,true_positive
612,no,formA,formA,resfinder,db_v_1,X73835,resfinder 4,tool_v_1,99.64,NODE_342_length_33650_cov_63.258253,,,19380.0,20489.0,,,,,+,,100.0,,1110.0,,,,disinfectantresistance,,,,,,,,,Disinfectant resistance,False,disinfectant,unknown
613,no,fosA,fosA,resfinder,db_v_1,ACWU01000146,resfinder 4,tool_v_1,99.51,NODE_6_length_515405_cov_63.312017,,,338116.0,338523.0,,,,,+,,100.0,,408.0,,,,fosfomycinresistance,,,,,,,,,Fosfomycin resistance,False,fosfomycin,unknown
614,no,fosA,fosA,resfinder,db_v_1,AEXB01000013,resfinder 4,tool_v_1,96.01,NODE_82_length_126873_cov_64.260894,,,7087.0,7512.0,,,,,+,,100.0,,426.0,,,,fosfomycinresistance,,,,,,,,,Fosfomycin resistance,False,fosfomycin,unknown
615,no,fosA,fosA,resfinder,db_v_1,AFBO01000747,resfinder 4,tool_v_1,98.79,NODE_118_length_98422_cov_63.725091,,,13948.0,14360.0,,,,,+,,98.33333333333331,,413.0,,,,fosfomycinresistance,,,,,,,,,Fosfomycin resistance,False,fosfomycin,unknown
621,no,mph(A),mph(A),resfinder,db_v_1,D16251,resfinder 4,tool_v_1,100.0,NODE_745_length_3348_cov_65.137868,,,122.0,1024.0,,,,,-,,99.66887417218544,,903.0,,,,macrolideresistance,,,,,,,,,Macrolide resistance,False,macrolide,true_positive
622,no,mph(C),mph(C),resfinder,db_v_1,AF167161,resfinder 4,tool_v_1,100.0,NODE_506_length_14937_cov_66.210724,,,12001.0,12900.0,,,,,+,,100.0,,900.0,,,,macrolideresistance,,,,,,,,,Macrolide resistance,False,macrolide,true_positive
623,no,msr(A),msr(A),resfinder,db_v_1,X52085,resfinder 4,tool_v_1,98.98,NODE_506_length_14937_cov_66.210724,,,12999.0,14465.0,,,,,+,,100.0,,1467.0,,,,macrolide,,,,,,,,,"Macrolide, Lincosamide and Streptogramin B resistance",False,macrolide,true_positive
623,no,msr(A),msr(A),resfinder,db_v_1,X52085,resfinder 4,tool_v_1,98.98,NODE_506_length_14937_cov_66.210724,,,12999.0,14465.0,,,,,+,,100.0,,1467.0,,,,lincosamide,,,,,,,,,"Macrolide, Lincosamide and Streptogramin B resistance",False,lincosamide,true_positive
623,no,msr(A),msr(A),resfinder,db_v_1,X52085,resfinder 4,tool_v_1,98.98,NODE_506_length_14937_cov_66.210724,,,12999.0,14465.0,,,,,+,,100.0,,1467.0,,,,streptograminbresistance,,,,,,,,,"Macrolide, Lincosamide and Streptogramin B resistance",False,streptograminb,unknown
624,no,oqxA,oqxA,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,99.49,NODE_174_length_70078_cov_65.770333,,,54027.0,55202.0,,,,,+,,100.0,,1176.0,,,,quinoloneresistance,,,,,,,,,Quinolone resistance,False,quinolone,true_positive
625,no,oqxB,oqxB,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,50851.0,54003.0,,,,,+,,100.0,,3153.0,,,,diaminopyrimidineantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,Quinolone resistance,False,diaminopyrimidine,unknown
625,no,oqxB,oqxB,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,50851.0,54003.0,,,,,+,,100.0,,3153.0,,,,fluoroquinoloneantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,Quinolone resistance,False,quinolone,true_positive
625,no,oqxB,oqxB,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,50851.0,54003.0,,,,,+,,100.0,,3153.0,,,,glycylcycline,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,Quinolone resistance,False,tetracycline,true_positive
625,no,oqxB,oqxB,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,50851.0,54003.0,,,,,+,,100.0,,3153.0,,,,nitrofuranantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,Quinolone resistance,False,nitrofuran,false_positive
625,no,oqxB,oqxB,resfinder,db_v_1,EU370913,resfinder 4,tool_v_1,98.54,NODE_174_length_70078_cov_65.770333,,,50851.0,54003.0,,,,,+,,100.0,,3153.0,,,,tetracyclineantibiotic,,,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,Quinolone resistance,False,tetracycline,true_positive
626,no,qnrB2,qnrB2,resfinder,db_v_1,DQ351242,resfinder 4,tool_v_1,100.0,NODE_803_length_2615_cov_137.732031,,,348.0,992.0,,,,,+,,100.0,,645.0,,,,quinoloneresistance,,,,,,,,,Quinolone resistance,False,quinolone,true_positive
627,no,qnrS1,qnrS1,resfinder,db_v_1,AB187515,resfinder 4,tool_v_1,100.0,NODE_820_length_2478_cov_122.500619,,,749.0,1405.0,,,,,-,,100.0,,657.0,,,,quinoloneresistance,,,,,,,,,Quinolone resistance,False,quinolone,true_positive
628,no,sitABCD,sitABCD,resfinder,db_v_1,AY598030,resfinder 4,tool_v_1,97.28,NODE_219_length_56824_cov_64.290176,,,4694.0,8138.0,,,,,+,,99.59525874530209,,3454.0,,,,disinfectantresistance,,,,,,,,,Disinfectant resistance,False,disinfectant,unknown
630,no,sul2,sul2,resfinder,db_v_1,AY034138,resfinder 4,tool_v_1,100.0,NODE_968_length_1384_cov_60.326561,,,84.0,899.0,,,,,+,,100.0,,816.0,,,,sulfonamideantibiotic,,,,,,,,sulfonamide antibiotic,Sulphonamide resistance,False,sufonamides,unknown
631,no,tet(41),tet(41),resfinder,db_v_1,AY264780,resfinder 4,tool_v_1,98.65,NODE_243_length_49668_cov_63.129502,,,11526.0,12707.0,,,,,+,,100.0,,1182.0,,,,tetracyclineantibiotic,,,,,,,,tetracycline antibiotic,Tetracycline resistance,False,tetracycline,true_positive
